3,NVIDIA GeForce RTX 4090,GPU,2199000.000000,12,최고급 4K 게이밍 그래픽카드,2024-01-17
4,Corsair Vengeance LPX 32GB,RAM,189000.000000,45,DDR4-3200 고성능 메모리,2024-01-18
5,Intel Core i7-13700K,CPU,549000.000000,32,16코어 24스레드 고성능 프로세서,2024-01-19
6,AMD Ryzen 7 7800X3D,CPU,629000.000000,28,8코어 16스레드 3D V-Cache,2024-01-20
7,NVIDIA GeForce RTX 4080,GPU,1699000.000000,15,프리미엄 4K 게이밍 그래픽카드,2024-01-21
8,G.Skill Trident Z5 64GB,RAM,459000.000000,20,DDR5-5600 최고급 메모리,2024-01-22
9,Intel Core i5-13600K,CPU,399000.000000,40,14코어 20스레드 메인스트림 프로세서,2024-01-23
10,AMD Ryzen 5 7600X,CPU,329000.000000,35,6코어 12스레드 고효율 프로세서,2024-01-24
11,NVIDIA GeForce RTX 4070 Ti,GPU,1299000.000000,38,고성능 1440p 게이밍 그래픽카드,2024-01-25
12,Kingston Fury Beast 16GB,RAM,89000.000000,60,DDR4-3200 게이밍 메모리,2024-01-26
13,Intel Core i3-13100,CPU,179000.000000,50,4코어 8스레드 보급형 프로세서,2024-01-27
14,AMD Ryzen 3 7300X,CPU,199000.000000,45,4코어 8스레드 엔트리 프로세서,2024-01-28
15,NVIDIA GeForce RTX 4070,GPU,999000.000000,28,1440p 게이밍 최적화 그래픽카드,2024-01-29
16,Crucial Ballistix 32GB,RAM,159000.000000,38,DDR4-3600 고성능 메모리,2024-01-30
17,Intel Core i9-12900K,CPU,649000.000000,20,16코어 24스레드 이전세대 플래그십,2024-02-01
18,AMD Ryzen 9 5950X,CPU,589000.000000,15,16코어 32스레드 AM4 플래그십,2024-02-02
19,NVIDIA GeForce RTX 4060 Ti,GPU,749000.000000,35,1080p 고성능 게이밍 그래픽카드,2024-02-03
20,Samsung DDR5 32GB,RAM,229000.000000,42,DDR5-4800 삼성 순정 메모리,2024-02-04
21,Intel Core i7-12700K,CPU,459000.000000,30,12코어 20스레드 고성능 프로세서,2024-02-05
22,AMD Ryzen 7 5800X3D,CPU,449000.000000,25,8코어 16스레드 3D V-Cache,2024-02-06
23,NVIDIA GeForce RTX 4060,GPU,599000.000000,40,1080p 메인스트림 게이밍 그래픽카드,2024-02-07
24,HyperX Predator 16GB,RAM,119000.000000,55,DDR4-3200 게이밍 메모리,2024-02-08
25,Intel Core i5-12600K,CPU,329000.000000,38,10코어 16스레드 메인스트림 프로세서,2024-02-09
